Course,University,Location,Subject,Link
Computer Engineering for IoT Systems,Nordhausen University of Applied Sciences,Nordhausen,Computer Science,www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/9012/
Embedded Computing Systems (ESY),RPTU University of Kaiserslautern-Landau,Kaiserslautern,Electrical Engineering,www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/3590/
Master of Science in Computer Engineering,Paderborn University,Paderborn,Electrical Engineering,www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/5625/
Computational Materials Science (CMS),TU Bergakademie Freiberg,Freiberg,Mechanical Engineering / Process Engineering,www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/4288/
Computational Mechanics,Technical University of Munich,München,Engineering in general,www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/3595/
Computer Simulation in Science (MSc),University of Wuppertal,Wuppertal,"Mathematics, Natural Sciences in general",www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/3690/
Scientific Computing (Elite Network of Bavaria),University of Bayreuth,Bayreuth,Mathematics,www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/5244/
Electrical and Computer Engineering (M Eng),Anhalt University of Applied Sciences,Köthen / Anhalt,Electrical Engineering,www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/8357/
"Computational Engineering (CE), MSc",FAU Erlangen-Nürnberg,Erlangen,Computer Science,www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/3727/
Computational Methods in Engineering (CoME),Otto von Guericke University Magdeburg,Magdeburg,Engineering in general,www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/9061/
Computational Modelling and Simulation,Dresden University of Technology,Dresden,Computer Science,www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/5202/
Computational Science and Engineering (CSE),Technical University of Munich,Garching b. München,Computer Science,www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/3591/
Computational Sciences in Engineering (CSE),Technische Universität Braunschweig,Braunschweig,Engineering in general,www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/3685/
Computational Engineering (CompEng),Ruhr-Universität Bochum,Bochum,Engineering in general,www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/3847/
Computational Science and Engineering (CSE),University of Rostock,Rostock,Engineering in general,www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/4593/
Quantum Technologies in Electrical and Computer Engineering (QTEC),Technische Universität Braunschweig,Braunschweig,Electrical Engineering,www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/8958/
Computer Engineering – Master's Study Programme,RWTH Aachen University,Aachen,Engineering in general,www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/5226/
"Control, Computer and Communications Engineering (CCCE)",Technische Hochschule Mittelhessen University of Applied Sciences,Friedberg (Hessen),Electrical Engineering,www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/3815/
Advanced Computational Methods in Civil Engineering,RWTH Aachen University,Aachen,Civil Engineering,www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/6318/
International Master's Programme in Advanced Computational and Civil Engineering Structural Studies (ACCESS),Dresden University of Technology,Dresden,Civil Engineering,www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/4132/
Applied Research in Computer Science (MSc),Hof University of Applied Sciences,Hof,Computer Science,www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/6236/
Information and Communication Systems,Hamburg University of Technology,Hamburg,Electrical Engineering,www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/3747/
Digital Engineering (DigiEng),Otto von Guericke University Magdeburg,Magdeburg,Computer Science,www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/4427/
Digital Engineering,Bauhaus-Universität Weimar,Weimar,Engineering in general,www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/8265/
Information and Communication Technology MSc,FAU Erlangen-Nürnberg,Erlangen,Electrical Engineering,www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/6146/
Internet of Things (IoT) and Smart Systems,Westsächsische Hochschule Zwickau - University of Applied Sciences Zwickau,Zwickau,Computer Science,www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/8382/
Master of Science in Data Science,Trier University,Trier,"Mathematics, Natural Sciences in general",www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/5351/
Microelectronics and Microsystems,Hamburg University of Technology,Hamburg,Electrical Engineering,www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/3751/
MSc Advanced Materials and Processes (MAP),FAU Erlangen-Nürnberg,Erlangen,Engineering in general,www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/3762/
Technology and Innovation Management,Harz University of Applied Sciences,Wernigerode,Engineering in general,www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/5591/
Autonomous Driving,Coburg University of Applied Sciences and Arts,Kronach,Engineering in general,www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/9016/
Cyber Security,Brandenburg University of Technology Cottbus-Senftenberg,Cottbus,Computer Science,www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/4785/
Digitalised Energy Systems,Carl von Ossietzky University of Oldenburg,Oldenburg,Computer Science,www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/8944/
Electrical Communication Engineering (MSc),University of Kassel,Kassel,Electrical Engineering,www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/3759/
Embedded Systems,Chemnitz University of Technology,Chemnitz,Electrical Engineering,www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/4493/
Information and Communication Systems,Chemnitz University of Technology,Chemnitz,Electrical Engineering,www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/4269/
Master's in Embedded Systems Engineering (ESE),Dortmund University of Applied Sciences and Arts,Dortmund,Computer Science,www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/4513/
Research in Media Engineering MSc Programme,Technische Universität Ilmenau,Ilmenau,Electrical Engineering,www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/4147/
Autonomous Systems (MSc),Hochschule Bonn-Rhein-Sieg,Sankt Augustin,Computer Science,www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/3799/
Automation & IT (Master of Engineering),Technische Hochschule Köln (University of Applied Sciences),Köln,Engineering in general,www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/3961/
Communications and Multimedia Engineering (CME),FAU Erlangen-Nürnberg,Erlangen,Electrical Engineering,www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/4261/
Communications Engineering – Master's Study Programme,RWTH Aachen University,Aachen,Electrical Engineering,www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/3698/
Electrical Engineering (EE),University of Rostock,Rostock,Electrical Engineering,www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/4594/
Medical Engineering – Branches of Study: Medical Image and Data Processing | Health and Medical Data Analytics & Entrepreneurship | Medical Robotics,FAU Erlangen-Nürnberg,Erlangen,Computer Science,www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/4407/
Advanced Signal Processing and Communications Engineering MSc,FAU Erlangen-Nürnberg,Erlangen,Electrical Engineering,www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/4661/
"Applied AI for Digital Production Management, MEng",Deggendorf Institute of Technology,Cham,Industrial Engineering,www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/9024/
Communication Systems and Networks (Master of Science),Technische Hochschule Köln (University of Applied Sciences),Köln,Electrical Engineering,www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/4354/
Data Science,University of Potsdam,Potsdam,Computer Science,www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/5253/
Elite Master of Science in Neuroengineering (MSNE),Technical University of Munich,München,Engineering in general,www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/4670/
Engineering of Hydro-Environmental Extremes (HDE),University of Siegen,Siegen,Civil Engineering,www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/9179/
Hybrid Electric Propulsion Technology,Brandenburg University of Technology Cottbus-Senftenberg,Cottbus,Engineering in general,www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/9255/
Information Technology,OWL University of Applied Sciences and Arts,Lemgo,Computer Science,www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/3632/
Master's in Industrial Informatics,University of Applied Sciences Emden/Leer,Emden,Computer Science,www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/4775/
Materials Science and Simulation,Ruhr-Universität Bochum,Bochum,Mechanical Engineering / Process Engineering,www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/4234/
Mechatronics,University of Siegen,Siegen,Electrical Engineering,www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/3782/
MSc Advanced (Systems) Engineering & Engineering Management,South Westphalia University of Applied Sciences,Soest,Electrical Engineering,www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/4062/
MSc Advanced Optical Technologies (MAOT),FAU Erlangen-Nürnberg,Erlangen,Engineering in general,www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/4046/
MSc Autonomy Technologies,FAU Erlangen-Nürnberg,Erlangen,Engineering in general,www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/8925/
Natural Hazards and Risks in Structural Engineering (NHRE),Bauhaus-Universität Weimar,Weimar,Civil Engineering,www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/3612/
Quantum Science,University of Siegen,Siegen,"Mathematics, Natural Sciences in general",www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/8336/
"Master of Science in Geodesy and Geoinformatics, Specialisation Hydrography",HafenCity University Hamburg,Hamburg,Surveying,www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/4254/
MEng Artificial Intelligence for Smart Sensors and Actuators,Deggendorf Institute of Technology,Cham,Engineering in general,www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/7691/
