Course,University,Location,Subject
Master of Science in Computer Engineering,Paderborn University,Paderborn,Electrical Engineering
Computer Simulation in Science (MSc),University of Wuppertal,Wuppertal,"Mathematics, Natural Sciences in general"
Computer Engineering for IoT Systems,Nordhausen University of Applied Sciences,Nordhausen,Computer Science
Computational Materials Science (CMS),TU Bergakademie Freiberg,Freiberg,Mechanical Engineering / Process Engineering
Computational Science and Engineering (CSE),Technical University of Munich,Garching b. München,Computer Science
Computational Sciences in Engineering (CSE),Technische Universität Braunschweig,Braunschweig,Engineering in general
Embedded Computing Systems (ESY),RPTU University of Kaiserslautern-Landau,Kaiserslautern,Electrical Engineering
Computational Science and Engineering (CSE),University of Rostock,Rostock,Engineering in general
Electrical and Computer Engineering (M Eng),Anhalt University of Applied Sciences,Köthen / Anhalt,Electrical Engineering
Scientific Computing (Elite Network of Bavaria),University of Bayreuth,Bayreuth,Mathematics
"Computational Engineering (CE), MSc",FAU Erlangen-Nürnberg,Erlangen,Computer Science
Computational Methods in Engineering (CoME),Otto von Guericke University Magdeburg,Magdeburg,Engineering in general
Computational Modelling and Simulation,Dresden University of Technology,Dresden,Computer Science
"Control, Computer and Communications Engineering (CCCE)",Technische Hochschule Mittelhessen University of Applied Sciences,Friedberg (Hessen),Electrical Engineering
Quantum Technologies in Electrical and Computer Engineering (QTEC),Technische Universität Braunschweig,Braunschweig,Electrical Engineering
Computer Engineering – Master's Study Programme,RWTH Aachen University,Aachen,Engineering in general
Applied Research in Computer Science (MSc),Hof University of Applied Sciences,Hof,Computer Science
Master of Science in Data Science,Trier University,Trier,"Mathematics, Natural Sciences in general"
Advanced Computational Methods in Civil Engineering,RWTH Aachen University,Aachen,Civil Engineering
International Master's Programme in Advanced Computational and Civil Engineering Structural Studies (ACCESS),Dresden University of Technology,Dresden,Civil Engineering
Computational Mechanics,Technical University of Munich,München,Engineering in general
Master of Science in Photonics,Hochschule München University of Applied Sciences,München,"Physics, Astronomy"
Data Science,University of Potsdam,Potsdam,Computer Science
Quantum Science,University of Siegen,Siegen,"Mathematics, Natural Sciences in general"
Communication Systems and Networks (Master of Science),Technische Hochschule Köln (University of Applied Sciences),Köln,Electrical Engineering
Computational Engineering (CompEng),Ruhr-Universität Bochum,Bochum,Engineering in general
Digital Engineering (DigiEng),Otto von Guericke University Magdeburg,Magdeburg,Computer Science
Internet of Things (IoT) and Smart Systems,Westsächsische Hochschule Zwickau - University of Applied Sciences Zwickau,Zwickau,Computer Science
Materials Science and Simulation,Ruhr-Universität Bochum,Bochum,Mechanical Engineering / Process Engineering
Information Technology (IT),Frankfurt University of Applied Sciences,Frankfurt am Main,Electrical Engineering
Renewable Energy Master of Engineering (MEng),Frankfurt University of Applied Sciences,Frankfurt am Main,Electrical Engineering
Elite Master of Science in Neuroengineering (MSNE),Technical University of Munich,München,Engineering in general
Technology and Innovation Management,Harz University of Applied Sciences,Wernigerode,Engineering in general
Master's in Micro- and Nanotechnology,Hochschule München University of Applied Sciences,München,"Mathematics, Natural Sciences in general"
"Master of Science in Geodesy and Geoinformatics, Specialisation Hydrography",HafenCity University Hamburg,Hamburg,Surveying
Digital Engineering,Bauhaus-Universität Weimar,Weimar,Engineering in general
Information and Communication Technology MSc,FAU Erlangen-Nürnberg,Erlangen,Electrical Engineering
Information and Communication Systems,Hamburg University of Technology,Hamburg,Electrical Engineering
Autonomous Driving,Coburg University of Applied Sciences and Arts,Kronach,Engineering in general
Master's in Embedded Systems Engineering (ESE),Dortmund University of Applied Sciences and Arts,Dortmund,Computer Science
Master Materials Science and Engineering (MSc),FH Münster University of Applied Sciences,Steinfurt,Engineering in general
Master of Science in Materials Science,Technical University of Darmstadt,Darmstadt,"Physics, Astronomy"
Master of Science in Materials Science,Paderborn University,Paderborn,"Mathematics, Natural Sciences in general"
Master of Science in Mechatronics,FH Aachen University of Applied Sciences,Aachen,Mechanical Engineering / Process Engineering
Master of Science in Process Engineering,Hamburg University of Applied Sciences,Hamburg,Mechanical Engineering / Process Engineering
Master of Science in Scientific Instrumentation,University of Applied Sciences Jena,Jena,"Physics, Astronomy"
MSc Photovoltaics Engineering Science,Anhalt University of Applied Sciences,Köthen / Anhalt,Electrical Engineering
Master of Science in Applied Statistics,Trier University,Trier,"Law, Economics and Social Sciences in general"
Master of Science in Water Science,University of Duisburg-Essen,Essen,Chemistry
Master of Science in Wood Technology,Rosenheim Technical University of Applied Sciences,Rosenheim,"Forestry, Wood Economics"
Master of Science in Aerospace Engineering (MSc),FH Aachen University of Applied Sciences,Aachen,Mechanical Engineering / Process Engineering
Master of Science in International Automotive Engineering,FH Aachen University of Applied Sciences,Aachen,"Transport Engineering, Nautical Science"
Master of Science in Nuclear Applications (MNA),FH Aachen University of Applied Sciences,Jülich,Engineering in general
Information Technology,OWL University of Applied Sciences and Arts,Lemgo,Computer Science
Master's in Industrial Informatics,University of Applied Sciences Emden/Leer,Emden,Computer Science
MSc Advanced (Systems) Engineering & Engineering Management,South Westphalia University of Applied Sciences,Soest,Electrical Engineering
Automation & IT (Master of Engineering),Technische Hochschule Köln (University of Applied Sciences),Köln,Engineering in general
Master of Science in Materials Science and Engineering,Kiel University,Kiel,"Mathematics, Natural Sciences in general"
Master of Science in Polymer Materials Science,Martin Luther University Halle-Wittenberg,Halle (Saale),"Mathematics, Natural Sciences in general"
MSc Advanced Materials and Processes (MAP),FAU Erlangen-Nürnberg,Erlangen,Engineering in general
Renewable Energy Management (Master of Science),Technische Hochschule Köln (University of Applied Sciences),Köln,Engineering in general
Electrical Engineering and Information Technology — International Master of Science,Darmstadt University of Applied Sciences,Darmstadt,Electrical Engineering
Integrated Water Resources Management (Master of Science),Technische Hochschule Köln (University of Applied Sciences),Köln,Civil Engineering
Natural Resources Management and Development (Master of Science),Technische Hochschule Köln (University of Applied Sciences),Köln,"Land Management, Environmental Architecture"
Master's Mathematics in Science and Engineering,Technical University of Munich,Garching b. München,"Mathematics, Natural Sciences in general"
Master of Science in Aerospace Engineering,Technical University of Darmstadt,Darmstadt,"Transport Engineering, Nautical Science"
Master of Science in Photonics,Friedrich Schiller University Jena,Jena,"Physics, Astronomy"
Master of Science in Automotive Engineering,RWTH Aachen University,Aachen,Mechanical Engineering / Process Engineering
Engineering Sciences (Mechanical & Plastics Engineering / Mechatronics / Electrical Engineering & Information Technology),Rosenheim Technical University of Applied Sciences,Rosenheim,Engineering in general
"Biomedical Engineering, Master of Science",Technische Hochschule Lübeck,Lübeck,Engineering in general
Hydro Science and Engineering (HSE),Dresden University of Technology,Dresden,Engineering in general
Lasers and Photonics (Master of Science),Ruhr-Universität Bochum,Bochum,Electrical Engineering
Master of Science in Engineering Physics,Carl von Ossietzky University of Oldenburg,Oldenburg,"Physics, Astronomy"
Master of Science in Environmental Engineering,Technical University of Munich,München,Engineering in general
Master of Science in Medical Photonics,Friedrich Schiller University Jena,Jena,Medicine in general
Master of Science in Micro- and Nanotechnologies,Technische Universität Ilmenau,Ilmenau,Electrical Engineering
Master of Science in Optoelectronics & Photonics,Paderborn University,Paderborn,"Physics, Astronomy"
MSc Materials Science and Engineering,FAU Erlangen-Nürnberg,Erlangen,Engineering in general
Quantum Engineering (Master of Science),Leibniz University Hannover,Hannover,"Physics, Astronomy"
Battery Materials and Technology (Master of Science),University of Bayreuth,Bayreuth,"Mathematics, Natural Sciences in general"
Master of Science in Earth-Oriented Space Science and Technology (ESPACE),Technical University of Munich,München,Engineering in general
Master of Science in Electrical and Information Engineering,Kiel University,Kiel,Electrical Engineering
Master of Science in Manufacturing Technology (MMT),TU Dortmund University,Dortmund,Mechanical Engineering / Process Engineering
Cyber Security,Brandenburg University of Technology Cottbus-Senftenberg,Cottbus,Computer Science
Digitalised Energy Systems,Carl von Ossietzky University of Oldenburg,Oldenburg,Computer Science
Electrical Communication Engineering (MSc),University of Kassel,Kassel,Electrical Engineering
Embedded Systems,Chemnitz University of Technology,Chemnitz,Electrical Engineering
Information and Communication Systems,Chemnitz University of Technology,Chemnitz,Electrical Engineering
Research in Media Engineering MSc Programme,Technische Universität Ilmenau,Ilmenau,Electrical Engineering
Autonomous Systems (MSc),Hochschule Bonn-Rhein-Sieg,Sankt Augustin,Computer Science
Master of Science in Communications and Electronics Engineering (MSCE),Technical University of Munich,München,Electrical Engineering
MEng Business Engineering,Technical University of Applied Sciences Würzburg-Schweinfurt (THWS),Schweinfurt,Engineering in general
International Master of Science in Water Resources and Environmental Management (WATENV),Leibniz University Hannover,Hannover,Engineering in general
"Space Sciences and Technologies – Sensing, Processing, Communication (Space-ST)",University of Bremen,Bremen,"Physics, Astronomy"
Communications and Multimedia Engineering (CME),FAU Erlangen-Nürnberg,Erlangen,Electrical Engineering
Communications Engineering – Master's Study Programme,RWTH Aachen University,Aachen,Electrical Engineering
Electrical Engineering (EE),University of Rostock,Rostock,Electrical Engineering
Medical Engineering – Branches of Study: Medical Image and Data Processing | Health and Medical Data Analytics & Entrepreneurship | Medical Robotics,FAU Erlangen-Nürnberg,Erlangen,Computer Science
Advanced Signal Processing and Communications Engineering MSc,FAU Erlangen-Nürnberg,Erlangen,Electrical Engineering
"Applied AI for Digital Production Management, MEng",Deggendorf Institute of Technology,Cham,Industrial Engineering
MSc Advanced Optical Technologies (MAOT),FAU Erlangen-Nürnberg,Erlangen,Engineering in general
Natural Hazards and Risks in Structural Engineering (NHRE),Bauhaus-Universität Weimar,Weimar,Civil Engineering
Applied Geosciences – Applied Mineralogy and Crystallography (AMC),RWTH Aachen University,Aachen,Earth Sciences (excluding Geography)
Applied Biotechnology,Ansbach University of Applied Sciences,Ansbach,"Mathematics, Natural Sciences in general"
Microelectronics and Microsystems,Hamburg University of Technology,Hamburg,Electrical Engineering
Engineering of Hydro-Environmental Extremes (HDE),University of Siegen,Siegen,Civil Engineering
Hybrid Electric Propulsion Technology,Brandenburg University of Technology Cottbus-Senftenberg,Cottbus,Engineering in general
Mechatronics,University of Siegen,Siegen,Electrical Engineering
MSc Autonomy Technologies,FAU Erlangen-Nürnberg,Erlangen,Engineering in general
Bionics MSc,Rhine-Waal University of Applied Sciences,Kleve,Biology
Maritime Operations,University of Applied Sciences Emden/Leer,Leer (Ostfriesland),"Transport Engineering, Nautical Science"
Biomedical Engineering (MSc),Hamburg University of Applied Sciences,Hamburg,Engineering in general
Electrical Engineering,Kempten University of Applied Sciences,Kempten (Allgäu),Electrical Engineering
EMMaH – European Master of Medical Technology and Healthcare Business (MSc),Hamburg University of Applied Sciences,Hamburg,Medicine in general
Environmental and Recycling Technology,Nordhausen University of Applied Sciences,Nordhausen,Engineering in general
International Master's in Biomedical Engineering (BME),Anhalt University of Applied Sciences,Köthen / Anhalt,Engineering in general
International Product and Service Management (IPM),Ansbach University of Applied Sciences,Ansbach,Business and Economics
Mechanical Engineering/Mechatronics (MSc),Kaiserslautern University of Applied Sciences,Kaiserslautern,Mechanical Engineering / Process Engineering
Mechatronics and Robotics (MEng),Schmalkalden University of Applied Sciences,Schmalkalden,Engineering in general
MSc Pharmaceutical Biotechnology,Hamburg University of Applied Sciences,Hamburg,Engineering in general
MSc Renewable Energy Systems,Hamburg University of Applied Sciences,Hamburg,Engineering in general
Process Engineering and Energy Technology,Bremerhaven University of Applied Sciences,Bremerhaven,Mechanical Engineering / Process Engineering
Refinement of Polymer and Composite Products,Kaiserslautern University of Applied Sciences,Pirmasens,Mechanical Engineering / Process Engineering
Renewable Energy and E-Mobility (REEM),Stralsund University of Applied Sciences,Stralsund,Electrical Engineering
Renewable Energy Systems,Nordhausen University of Applied Sciences,Nordhausen,Engineering in general
Simulation and System Design (SSD),Stralsund University of Applied Sciences,Stralsund,Mechanical Engineering / Process Engineering
Smart Energy Systems,Ansbach University of Applied Sciences,Feuchtwangen,Engineering in general
Sustainable Building Systems,Ansbach University of Applied Sciences,Feuchtwangen,Engineering in general
Sustainable Textiles (MEng),Hof University of Applied Sciences,Hof,Chemistry
Sustainable Water Management and Engineering,Hof University of Applied Sciences,Hof,Engineering in general
MEng Artificial Intelligence for Smart Sensors and Actuators,Deggendorf Institute of Technology,Cham,Engineering in general
Road Traffic Engineering,Westsächsische Hochschule Zwickau - University of Applied Sciences Zwickau,Zwickau,"Transport Engineering, Nautical Science"
"Integrated Water Resources Management (MSc Joint Exchange Programme, Focus on Middle East and Northern Africa)",Technische Hochschule Köln (University of Applied Sciences),Köln,Civil Engineering
MSc Applied Geosciences – Energy & Mineral Resources (EMR),RWTH Aachen University,Aachen,Earth Sciences (excluding Geography)
Hydrogen Technology,Rosenheim Technical University of Applied Sciences,Burghausen,Mechanical Engineering / Process Engineering
International Max Planck Research School Physics of Light (IMPRS-PL),Max Planck Institute for the Science of Light,Erlangen,"Physics, Astronomy"
Master in Integrated Design (MID),OWL University of Applied Sciences and Arts,Detmold,Architecture
Master's in Construction and Real Estate Management (ConREM),HTW Berlin University of Applied Sciences,Berlin,Civil Engineering
"Mechanical Engineering, MSc",Rhine-Waal University of Applied Sciences,Kleve,Mechanical Engineering / Process Engineering
Neural Engineering (MSc),htw saar - University of Applied Sciences,Saarbrücken,Engineering in general
Water Engineering,Magdeburg-Stendal University of Applied Sciences,Magdeburg,Engineering in general
Advanced Green Engineering and Sustainable Management,Westsächsische Hochschule Zwickau - University of Applied Sciences Zwickau,Zwickau,Engineering in general
Master Environmental Engineering (MEng),Hochschule für Technik und Wirtschaft Dresden – University of Applied Sciences,Dresden,Civil Engineering
Chemical and Bioprocess Engineering,Hamburg University of Technology,Hamburg,Engineering in general
Biofabrication,University of Bayreuth,Bayreuth,Engineering in general
Air Transport and Logistics,Dresden University of Technology,Dresden,"Transport Engineering, Nautical Science"
"MSc Remote Sensing, geoInformation, and Visualisation (RSIV)",University of Potsdam,Potsdam,Earth Sciences (excluding Geography)
European Urban Studies (EUS),Bauhaus-Universität Weimar,Weimar,Town and Country Planning
Environmental and Resource Management (MSc),Brandenburg University of Technology Cottbus-Senftenberg,Cottbus,"Agriculture, Forestry and Nutritional Sciences in general"
Transformation Studies,Brandenburg University of Technology Cottbus-Senftenberg,Cottbus,"Law, Economics and Social Sciences in general"
Subsurface Engineering (SubSurf),Ruhr-Universität Bochum,Bochum,Civil Engineering
Engineering Geohazards (MSc),RWTH Aachen University,Aachen,Earth Sciences (excluding Geography)
Biomedical Engineering,RWTH Aachen University,Aachen,"Mathematics, Natural Sciences in general"
Functional Materials MSc,Philipps-Universität Marburg,Marburg,"Mathematics, Natural Sciences in general"
Geomatics for Mineral Resource Management (MGMRM),TU Bergakademie Freiberg,Freiberg,Surveying
"International Energy Engineering (MEng), full-time",Ostbayerische Technische Hochschule Amberg-Weiden (OTH),Amberg,Engineering in general
Master of Sustainable Mining and Remediation Management (MoRe),TU Bergakademie Freiberg,Freiberg,"Mining, Metallurgy"
Micro and Nano Systems,Chemnitz University of Technology,Chemnitz,Electrical Engineering
MSc Mineral Resources Engineering – Specialisation: Repository Safety,RWTH Aachen University,Aachen,Engineering in general
Nanoscience and Nanotechnology,University of Siegen,Siegen,"Mathematics, Natural Sciences in general"
Organic and Molecular Electronics (OME),Dresden University of Technology,Dresden,"Physics, Astronomy"
Urban Design Master's Programme,Technische Universität Berlin,Berlin,Design
European Mining Course (EMC),RWTH Aachen University,Aachen,"Mining, Metallurgy"
Railway Systems Engineering,RWTH Aachen University,Aachen,"Transport Engineering, Nautical Science"
